"Classification_ID","Run_ID","US_ID","Condition","Question_ID","Segment_ID","Question_Original","Gap_Normalized","Contextual_Category","Coverage","Functional_Relevance","Evidence","Justification","Judge_ID","Adjudication_Status"
"CLS0001","US02_C0_R1","US02","C0","Q01","S01","Which facility details must each search result display so the user can decide which facilities to consider? Answer in <=5 words.","","","","","","","","Pending"
"CLS0002","US02_C0_R1","US02","C0","Q02","S01","What ZIP code formats are valid for search input? Answer in <=5 words.","","","","","","","","Pending"
"CLS0003","US02_C0_R1","US02","C0","Q03","S01","What data source provides facility records and their active/verified status? Answer in <=5 words.","","","","","","","","Pending"
"CLS0004","US02_C0_R1","US02","C0","Q04","S01","Should results include material types accepted by each facility? Answer: yes or no.","","","","","","","","Pending"
"CLS0005","US02_C0_R1","US02","C0","Q05","S01","How should facilities at the same distance be ordered? Answer in <=5 words.","","","","","","","","Pending"
"CLS0006","US02_CD_R1","US02","CD","Q01","S01","Should ZIP input accept only 5-digit U.S. ZIP codes, or also ZIP+4 format?","","","","","","","","Pending"
"CLS0007","US02_CD_R1","US02","CD","Q02","S01","What facility details must appear in each result so users can decide which facilities to consider?","","","","","","","","Pending"
"CLS0008","US02_CD_R1","US02","CD","Q03","S01","What should break ties when multiple facilities have the same calculated distance?","","","","","","","","Pending"
"CLS0009","US02_CD_R1","US02","CD","Q04","S01","What user-facing outcome is required when a valid ZIP code cannot be geocoded?","","","","","","","","Pending"
"CLS0010","US02_CD_R1","US02","CD","Q05","S01","What source of truth defines whether a facility is active and verified?","","","","","","","","Pending"
"CLS0011","US02_CD_R1","US02","CD","Q06","S01","[NEEDS CLARIFICATION] Should ZIP input accept only 5-digit U.S. ZIP codes, or also ZIP+4 format?","","","","","","","","Pending"
"CLS0012","US02_CD_R1","US02","CD","Q07","S01","[NEEDS CLARIFICATION] What facility details must appear in each result so users can decide which facilities to consider?","","","","","","","","Pending"
"CLS0013","US02_CD_R1","US02","CD","Q08","S01","[NEEDS CLARIFICATION] What should break ties when multiple facilities have the same calculated distance?","","","","","","","","Pending"
"CLS0014","US02_CD_R1","US02","CD","Q09","S01","[NEEDS CLARIFICATION] What user-facing outcome is required when a valid ZIP code cannot be geocoded?","","","","","","","","Pending"
"CLS0015","US02_CD_R1","US02","CD","Q10","S01","[NEEDS CLARIFICATION] What source of truth defines whether a facility is active and verified?","","","","","","","","Pending"
"CLS0016","US02_CL_R1","US02","CL","Q01","S01","What information must each facility result display? Options: A) name only, B) name + distance, C) name + address + distance, D) name + address + distance + contact details.","","","","","","","","Pending"
"CLS0017","US02_CL_R1","US02","CL","Q02","S01","Which ZIP code formats are valid? Options: A) 5-digit US ZIP only, B) ZIP+4 accepted, C) both accepted but normalized to 5-digit.","","","","","","","","Pending"
"CLS0018","US02_CL_R1","US02","CL","Q03","S01","What should determine ordering when multiple facilities have the same calculated distance? Answer in <=5 words.","","","","","","","","Pending"
"CLS0019","US02_CL_R1","US02","CL","Q04","S01","What facility data source should searches use? Answer in <=5 words.","","","","","","","","Pending"
"CLS0020","US02_CL_R1","US02","CL","Q05","S01","What should happen if the facility data source is unavailable during search? Options: A) show retryable error, B) show no results, C) use cached results, D) block search with maintenance message.","","","","","","","","Pending"
"CLS0021","US02_CO_R1","US02","CO","Q01","S01","What facility details must appear in each search result so users can decide which facilities to consider? Answer in <=5 words.","","","","","","","","Pending"
"CLS0022","US02_CO_R1","US02","CO","Q02","S01","Which ZIP code formats are valid: 5-digit only, ZIP+4, or both?","","","","","","","","Pending"
"CLS0023","US02_CO_R1","US02","CO","Q03","S01","When multiple facilities have the same distance, how should ties be ordered? Answer in <=5 words.","","","","","","","","Pending"
"CLS0024","US02_CO_R1","US02","CO","Q04","S01","What should happen if the facility directory or geocoding lookup is unavailable? Answer in <=5 words.","","","","","","","","Pending"
"CLS0025","US02_CO_R1","US02","CO","Q05","S01","Does “active facilities” require only active status, or both active and verified status?","","","","","","","","Pending"
"CLS0026","US02_CO_R1","US02","CO","Q06","S01","[NEEDS CLARIFICATION] Which ZIP code formats are valid: 5-digit only, ZIP+4, or both?","","","","","","","","Pending"
"CLS0027","US02_CO_R1","US02","CO","Q07","S01","[NEEDS CLARIFICATION] Does “active facilities” require only active status, or both active and verified status?","","","","","","","","Pending"
"CLS0028","US02_CS_R1","US02","CS","Q01","S01","What ZIP code formats must be accepted? Options: A) US 5-digit only B) US 5-digit and ZIP+4 C) Any postal code supported by geocoding service","","","","","","","","Pending"
"CLS0029","US02_CS_R1","US02","CS","Q02","S01","What facility details must appear in each result so users can decide which facilities to consider? Answer in <=5 words.","","","","","","","","Pending"
"CLS0030","US02_CS_R1","US02","CS","Q03","S01","If multiple facilities have the same calculated distance, how should they be ordered? Options: A) Alphabetically by facility name B) Most recently verified first C) Stable directory order","","","","","","","","Pending"
"CLS0031","US02_CS_R1","US02","CS","Q04","S01","What should happen when the Geocoding Service or Facility Directory is unavailable? Options: A) Show temporary error, no results B) Show cached results if available C) Retry once, then error","","","","","","","","Pending"
"CLS0032","US02_CS_R1","US02","CS","Q05","S01","Should the search include only general recycling facilities or filter by accepted material type? Options: A) General facilities only B) Require material-type filter C) Optional material-type filter","","","","","","","","Pending"
"CLS0033","US02_CT_R1","US02","CT","Q01","S01","Which ZIP code formats must be accepted: 5-digit only, ZIP+4, or both?","","","","","","","","Pending"
"CLS0034","US02_CT_R1","US02","CT","Q02","S01","What facility details must each search result display, such as name, address, distance, contact info, or accepted materials?","","","","","","","","Pending"
"CLS0035","US02_CT_R1","US02","CT","Q03","S01","How should the system respond if the Geocoding Service or Facility Directory is unavailable?","","","","","","","","Pending"
"CLS0036","US02_CT_R1","US02","CT","Q04","S01","How should facilities with the same calculated distance be ordered?","","","","","","","","Pending"
"CLS0037","US02_CT_R1","US02","CT","Q05","S01","Should submitted ZIP codes or search activity be stored, and if so, for what purpose?","","","","","","","","Pending"
"CLS0038","US02_CT_R1","US02","CT","Q06","S01","[NEEDS CLARIFICATION] Which ZIP code formats must be accepted: 5-digit only, ZIP+4, or both?","","","","","","","","Pending"
"CLS0039","US02_CT_R1","US02","CT","Q07","S01","[NEEDS CLARIFICATION] What facility details must each search result display, such as name, address, distance, contact info, or accepted materials?","","","","","","","","Pending"
"CLS0040","US02_CT_R1","US02","CT","Q08","S01","[NEEDS CLARIFICATION] How should the system respond if the Geocoding Service or Facility Directory is unavailable?","","","","","","","","Pending"
"CLS0041","US02_CT_R1","US02","CT","Q09","S01","[NEEDS CLARIFICATION] How should facilities with the same calculated distance be ordered?","","","","","","","","Pending"
"CLS0042","US02_CT_R1","US02","CT","Q10","S01","[NEEDS CLARIFICATION] Should submitted ZIP codes or search activity be stored, and if so, for what purpose?","","","","","","","","Pending"
"CLS0043","US08_C0_R1","US08","C0","Q01","S01","When is the required estimator set fixed for a voting round: at round start, dynamically based on currently connected estimators, or only after each participant’s role is confirmed?","","","","","","","","Pending"
"CLS0044","US08_C0_R1","US08","C0","Q02","S01","If an active estimator disconnects before submitting, should their absence immediately reduce the completion count and possibly trigger reveal?","","","","","","","","Pending"
"CLS0045","US08_C0_R1","US08","C0","Q03","S01","Are spectators allowed to see revealed estimates once the reveal condition is met, or only active estimators and the moderator?","","","","","","","","Pending"
"CLS0046","US08_C0_R1","US08","C0","Q04","S01","If the moderator closes voting when no estimates have been submitted, should the round enter a revealed/closed state with no estimates, or remain unrevealed?","","","","","","","","Pending"
"CLS0047","US08_C0_R1","US08","C0","Q05","S01","After estimates are revealed, may late-joining or reconnected participants see the revealed estimates for that round?","","","","","","","","Pending"
"CLS0048","US08_C0_R1","US08","C0","Q06","S01","[NEEDS CLARIFICATION] When is the required estimator set fixed for a voting round: at round start, dynamically based on currently connected estimators, or only after each participant’s role is confirmed?","","","","","","","","Pending"
"CLS0049","US08_C0_R1","US08","C0","Q07","S01","[NEEDS CLARIFICATION] If an active estimator disconnects before submitting, should their absence immediately reduce the completion count and possibly trigger reveal?","","","","","","","","Pending"
"CLS0050","US08_C0_R1","US08","C0","Q08","S01","[NEEDS CLARIFICATION] Are spectators allowed to see revealed estimates once the reveal condition is met, or only active estimators and the moderator?","","","","","","","","Pending"
"CLS0051","US08_C0_R1","US08","C0","Q09","S01","[NEEDS CLARIFICATION] If the moderator closes voting when no estimates have been submitted, should the round enter a revealed/closed state with no estimates, or remain unrevealed?","","","","","","","","Pending"
"CLS0052","US08_C0_R1","US08","C0","Q10","S01","[NEEDS CLARIFICATION] After estimates are revealed, may late-joining or reconnected participants see the revealed estimates for that round?","","","","","","","","Pending"
"CLS0053","US08_CD_R1","US08","CD","Q01","S01","When is the set of “active estimators” determined for a voting round: at round start, dynamically from currently connected eligible participants, or another rule?","","","","","","","","Pending"
"CLS0054","US08_CD_R1","US08","CD","Q02","S01","If an active estimator disconnects after submitting but before reveal, should their submitted estimate still be revealed?","","","","","","","","Pending"
"CLS0055","US08_CD_R1","US08","CD","Q03","S01","If an estimator submits, disconnects, and later reconnects before reveal, should they count as submitted for completion?","","","","","","","","Pending"
"CLS0056","US08_CD_R1","US08","CD","Q04","S01","Before reveal, may an estimator change or replace their hidden estimate, or is the first submission final?","","","","","","","","Pending"
"CLS0057","US08_CD_R1","US08","CD","Q05","S01","When the moderator closes voting with no submitted estimates, should the round reveal an empty result, remain unrevealed, or enter a cancelled/closed state?","","","","","","","","Pending"
"CLS0058","US08_CD_R1","US08","CD","Q06","S01","[NEEDS CLARIFICATION] When is the set of “active estimators” determined for a voting round: at round start, dynamically from currently connected eligible participants, or another rule?","","","","","","","","Pending"
"CLS0059","US08_CD_R1","US08","CD","Q07","S01","[NEEDS CLARIFICATION] If an active estimator disconnects after submitting but before reveal, should their submitted estimate still be revealed?","","","","","","","","Pending"
"CLS0060","US08_CD_R1","US08","CD","Q08","S01","[NEEDS CLARIFICATION] If an estimator submits, disconnects, and later reconnects before reveal, should they count as submitted for completion?","","","","","","","","Pending"
"CLS0061","US08_CD_R1","US08","CD","Q09","S01","[NEEDS CLARIFICATION] Before reveal, may an estimator change or replace their hidden estimate, or is the first submission final?","","","","","","","","Pending"
"CLS0062","US08_CD_R1","US08","CD","Q10","S01","[NEEDS CLARIFICATION] When the moderator closes voting with no submitted estimates, should the round reveal an empty result, remain unrevealed, or enter a cancelled/closed state?","","","","","","","","Pending"
"CLS0063","US08_CL_R1","US08","CL","Q01","S01","If an active estimator disconnects after submitting but before reveal, should their submitted estimate still be revealed? Answer in <=5 words.","","","","","","","","Pending"
"CLS0064","US08_CL_R1","US08","CL","Q02","S01","When an active estimator disconnects before submitting, should the system immediately exclude them and reveal if remaining active estimators are complete, or wait for moderator closure? Answer in <=5 words.","","","","","","","","Pending"
"CLS0065","US08_CL_R1","US08","CL","Q03","S01","Should revealed estimates be visible to all participants, including spectators and later reconnecting participants, or only currently connected participants? Answer in <=5 words.","","","","","","","","Pending"
"CLS0066","US08_CL_R1","US08","CL","Q04","S01","If the moderator closes voting when no estimates have been submitted, should the round enter a revealed/closed state or remain open? Answer in <=5 words.","","","","","","","","Pending"
"CLS0067","US08_CL_R1","US08","CL","Q05","S01","After reveal, should attempted estimate changes be rejected with feedback, silently ignored, or treated as a request requiring a new round? Answer in <=5 words.","","","","","","","","Pending"
"CLS0068","US08_CO_R1","US08","CO","Q01","S01","When an active estimator disconnects after submitting but before reveal, should their stored estimate still be revealed? Answer in <=5 words.","","","","","","","","Pending"
"CLS0069","US08_CO_R1","US08","CO","Q02","S01","Is the active estimator set fixed at round start, or recalculated dynamically as participants connect/disconnect? Answer in <=5 words.","","","","","","","","Pending"
"CLS0070","US08_CO_R1","US08","CO","Q03","S01","When the moderator closes voting with no submitted estimates, should the round enter a revealed/closed state or remain unrevealed? Answer in <=5 words.","","","","","","","","Pending"
"CLS0071","US08_CS_R1","US08","CS","Q01","S01","Is the required estimator set fixed when a voting round starts, or recalculated from the Presence Service at reveal time?","","","","","","","","Pending"
"CLS0072","US08_CS_R1","US08","CS","Q02","S01","If an estimator disconnects before submitting, should their missing estimate immediately stop blocking reveal, or only after the moderator closes voting?","","","","","","","","Pending"
"CLS0073","US08_CS_R1","US08","CS","Q03","S01","Before reveal, may an estimator change or replace their hidden submitted estimate?","","","","","","","","Pending"
"CLS0074","US08_CS_R1","US08","CS","Q04","S01","When the moderator closes voting with zero submitted estimates, should the system reveal an empty result set or leave the round unrevealed?","","","","","","","","Pending"
"CLS0075","US08_CS_R1","US08","CS","Q05","S01","Should participants who reconnect or join after reveal see the already revealed estimates for that round?","","","","","","","","Pending"
"CLS0076","US08_CS_R1","US08","CS","Q06","S01","[NEEDS CLARIFICATION] Is the required estimator set fixed when a voting round starts, or recalculated from the Presence Service at reveal time?","","","","","","","","Pending"
"CLS0077","US08_CS_R1","US08","CS","Q07","S01","[NEEDS CLARIFICATION] If an estimator disconnects before submitting, should their missing estimate immediately stop blocking reveal, or only after the moderator closes voting?","","","","","","","","Pending"
"CLS0078","US08_CS_R1","US08","CS","Q08","S01","[NEEDS CLARIFICATION] Before reveal, may an estimator change or replace their hidden submitted estimate?","","","","","","","","Pending"
"CLS0079","US08_CS_R1","US08","CS","Q09","S01","[NEEDS CLARIFICATION] When the moderator closes voting with zero submitted estimates, should the system reveal an empty result set or leave the round unrevealed?","","","","","","","","Pending"
"CLS0080","US08_CS_R1","US08","CS","Q10","S01","[NEEDS CLARIFICATION] Should participants who reconnect or join after reveal see the already revealed estimates for that round?","","","","","","","","Pending"
"CLS0081","US08_CT_R1","US08","CT","Q01","S01","If an active estimator submits an estimate and then disconnects before reveal, should their stored estimate be included in the reveal?","","","","","","","","Pending"
"CLS0082","US08_CT_R1","US08","CT","Q02","S01","When the moderator closes voting before any estimates have been submitted, what should participants see?","","","","","","","","Pending"
"CLS0083","US08_CT_R1","US08","CT","Q03","S01","After estimates are revealed, who should be able to view revealed estimates?","","","","","","","","Pending"
"CLS0084","US08_CT_R1","US08","CT","Q04","S01","If the active estimator set changes during a voting round, when is the required completion count determined?","","","","","","","","Pending"
"CLS0085","US08_CT_R1","US08","CT","Q05","S01","If the reveal broadcast fails for some connected participants, what behavior is required?","","","","","","","","Pending"
