"gap_ref_ID","US_ID","Context category","Condition","projected gap","Reference answer","textual evidence","Expected need"
"US12_CO_03","US12","Operacional","CO","Authorization rule for scientist","A scientist may dismiss the prompt, mark the subject as reviewed, or request additional volunteer classifications","A scientist may dismiss the prompt, mark the subject as reviewed, or request additional volunteer classifications.","Necessária/bloqueante"
"US12_CD_01","US12","Decisória","CD","Prior decision or rationale concerning Annotation evidence and Talk evidence were combined so that structured disagreement and qualitative concerns can both surface a subject","Annotation evidence and Talk evidence were combined so that structured disagreement and qualitative concerns can both surface a subject","Annotation evidence and Talk evidence were combined so that structured disagreement and qualitative concerns can both surface a subject.","Útil/não bloqueante"
"US12_CD_02","US12","Decisória","CD","Prior decision or rationale concerning scientist remains responsible for the final interpretation; the system does not automatically resolve or retire the subject","The scientist remains responsible for the final interpretation; the system does not automatically resolve or retire the subject","The scientist remains responsible for the final interpretation; the system does not automatically resolve or retire the subject.","Útil/não bloqueante"
"US12_CD_03","US12","Decisória","CD","Rationale for selecting Fixed thresholds","Fixed thresholds were selected for the experiment to make the trigger rule explicit and reproducible","Fixed thresholds were selected for the experiment to make the trigger rule explicit and reproducible.","Útil/não bloqueante"
"US12_CS_01","US12","Sistêmica","CS","Source of counts and disagreement measures","The Annotation Service provides counts and disagreement measures","The Annotation Service provides counts and disagreement measures.","Necessária/bloqueante"
"US12_CS_02","US12","Sistêmica","CS","Source of comments and moderation flags associated with the subject","The Talk Service provides comments and moderation flags associated with the subject","The Talk Service provides comments and moderation flags associated with the subject.","Necessária/bloqueante"
"US12_CS_03","US12","Sistêmica","CS","Component responsible for creating prompts that are delivered to the Scientist Dashboard and Notification Service","The Review Rule Engine creates prompts that are delivered to the Scientist Dashboard and Notification Service","The Review Rule Engine creates prompts that are delivered to the Scientist Dashboard and Notification Service.","Útil/não bloqueante"
"US13_CL_01","US13","Léxica","CL","Definition of Previous participation","the volunteer's history of completed classifications and project interactions","Previous participation is the volunteer's history of completed classifications and project interactions.","Necessária/bloqueante"
"US13_CL_02","US13","Léxica","CL","Definition of suitable project","an open project whose task characteristics align with the volunteer's prior activity","A suitable project is an open project whose task characteristics align with the volunteer's prior activity.","Necessária/bloqueante"
"US13_CL_03","US13","Léxica","CL","Definition of project recommendation","a ranked suggestion, not an automatic project enrollment","A project recommendation is a ranked suggestion, not an automatic project enrollment.","Necessária/bloqueante"
"US13_CO_01","US13","Operacional","CO","Eligibility rule for Only active projects that","Only active projects that accept new volunteers may be recommended","Only active projects that accept new volunteers may be recommended.","Necessária/bloqueante"
"US13_CO_02","US13","Operacional","CO","Maximum limit applicable to system","The system ranks projects using shared task types, subject domains, and prior completion patterns, and displays up to five recommendations","The system ranks projects using shared task types, subject domains, and prior completion patterns, and displays up to five recommendations.","Necessária/bloqueante"
"US13_CO_03","US13","Operacional","CO","Operational rule governing Volunteers with no history","Volunteers with no history receive a general list of currently active projects","Volunteers with no history receive a general list of currently active projects.","Necessária/bloqueante"
"US13_CD_01","US13","Decisória","CD","Rationale for selecting Participation history","Participation history was selected instead of demographic attributes as the basis for personalization","Participation history was selected instead of demographic attributes as the basis for personalization.","Útil/não bloqueante"
"US13_CD_02","US13","Decisória","CD","Decision on user control over personalization","Volunteers may opt out of personalized recommendations","Volunteers may opt out of personalized recommendations.","Útil/não bloqueante"
"US13_CD_03","US13","Decisória","CD","Prior decision or rationale concerning Recommendations are intended to support discovery and do not restrict access to other projects","Recommendations are intended to support discovery and do not restrict access to other projects","Recommendations are intended to support discovery and do not restrict access to other projects.","Útil/não bloqueante"
"US13_CS_01","US13","Sistêmica","CS","Source of participation history and preference settings","The Volunteer Profile Service provides participation history and preference settings","The Volunteer Profile Service provides participation history and preference settings.","Necessária/bloqueante"
"US13_CS_02","US13","Sistêmica","CS","Source of project status, task types, and subject domains","The Project Catalog provides project status, task types, and subject domains","The Project Catalog provides project status, task types, and subject domains.","Necessária/bloqueante"
"US13_CS_03","US13","Sistêmica","CS","Component responsible for delivering the results to the volunteer home page","The Recommendation Engine ranks projects and sends the results to the volunteer home page","The Recommendation Engine ranks projects and sends the results to the volunteer home page.","Necessária/bloqueante"
"US14_CL_01","US14","Léxica","CL","Definition of safe-disposal event","a scheduled collection event for materials that require controlled handling","A safe-disposal event is a scheduled collection event for materials that require controlled handling.","Necessária/bloqueante"
"US14_CL_02","US14","Léxica","CL","Meaning and scope of upcoming event has a start time later than the current time and has not been cancelled","An upcoming event has a start time later than the current time and has not been cancelled","An upcoming event has a start time later than the current time and has not been cancelled.","Necessária/bloqueante"
"US14_CL_03","US14","Léxica","CL","Definition of user's area","the location supplied for the current event search","The user's area is the location supplied for the current event search.","Necessária/bloqueante"
"US14_CO_01","US14","Operacional","CO","Eligibility rule for Only published, verified, and non-cancelled events","Only published, verified, and non-cancelled events are displayed","Only published, verified, and non-cancelled events are displayed.","Necessária/bloqueante"
"US14_CO_02","US14","Operacional","CO","Eligibility rule for Events within 50 miles of the search location","Events within 50 miles of the search location are eligible","Events within 50 miles of the search location are eligible.","Necessária/bloqueante"
"US14_CO_03","US14","Operacional","CO","Ordering or ranking rule for Results","Results are ordered first by event date and then by distance","Results are ordered first by event date and then by distance.","Necessária/bloqueante"
"US14_CD_01","US14","Decisória","CD","Prior decision or rationale concerning Event information is available without requiring an account","Event information is available without requiring an account","Event information is available without requiring an account.","Útil/não bloqueante"
"US14_CD_02","US14","Decisória","CD","Prior decision or rationale concerning search location is used for the current request and is not stored as a permanent user profile value","The search location is used for the current request and is not stored as a permanent user profile value","The search location is used for the current request and is not stored as a permanent user profile value.","Útil/não bloqueante"
"US14_CD_03","US14","Decisória","CD","Decision on authorization: Only events approved by a platform administrator are considered verified","Only events approved by a platform administrator are considered verified","Only events approved by a platform administrator are considered verified.","Útil/não bloqueante"
"US14_CS_01","US14","Sistêmica","CS","Component responsible for storing event dates, locations, accepted materials, and publication status","The Event Management Service stores event dates, locations, accepted materials, and publication status","The Event Management Service stores event dates, locations, accepted materials, and publication status.","Necessária/bloqueante"
"US14_CS_02","US14","Sistêmica","CS","Component responsible for processing the distance between the search location and each event","The Location Resolution Service calculates the distance between the search location and each event","The Location Resolution Service calculates the distance between the search location and each event.","Necessária/bloqueante"
"US14_CS_03","US14","Sistêmica","CS","System interface for the filtered and ordered results","The Public Events Page receives the filtered and ordered results","The Public Events Page receives the filtered and ordered results.","Necessária/bloqueante"
"US15_CL_01","US15","Léxica","CL","Definition of Onboarding","the process of creating, verifying, and publishing a recycling center's platform record","Onboarding is the process of creating, verifying, and publishing a recycling center's platform record.","Necessária/bloqueante"
"US15_CL_02","US15","Léxica","CL","Definition of recycling center","an organization with a physical collection location","A recycling center is an organization with a physical collection location.","Necessária/bloqueante"
"US15_CL_03","US15","Léxica","CL","Definition of verified center","a center whose identity and contact information have been confirmed","A verified center is a center whose identity and contact information have been confirmed.","Necessária/bloqueante"
"US15_CO_01","US15","Operacional","CO","Required data or conditions for administrator","The administrator must provide the center's name, address, contact details, operating hours, and accepted materials","The administrator must provide the center's name, address, contact details, operating hours, and accepted materials.","Necessária/bloqueante"
"US15_CO_02","US15","Operacional","CO","Conflict-handling rule for system","The system checks for possible duplicate facilities using name and address before creating a record","The system checks for possible duplicate facilities using name and address before creating a record.","Necessária/bloqueante"
"US15_CO_03","US15","Operacional","CO","Time constraint applicable to new center","A new center remains in pending status until verification is completed","A new center remains in pending status until verification is completed.","Necessária/bloqueante"
"US15_CD_01","US15","Decisória","CD","Rationale for selecting Administrator-led onboarding","Administrator-led onboarding was selected for the initial release instead of unrestricted facility self-registration","Administrator-led onboarding was selected for the initial release instead of unrestricted facility self-registration.","Útil/não bloqueante"
"US15_CD_02","US15","Decisória","CD","Prior decision or rationale concerning Verification is required before a center becomes visible to users","Verification is required before a center becomes visible to users","Verification is required before a center becomes visible to users.","Útil/não bloqueante"
"US15_CD_03","US15","Decisória","CD","Prior decision or rationale concerning Duplicate review is performed before record creation to avoid conflicting public profiles","Duplicate review is performed before record creation to avoid conflicting public profiles","Duplicate review is performed before record creation to avoid conflicting public profiles.","Útil/não bloqueante"
"US15_CS_01","US15","Sistêmica","CS","System responsibility or dependency involving Onboarding Workflow coordinates data entry","The Onboarding Workflow coordinates data entry, duplicate checking, verification, and publication","The Onboarding Workflow coordinates data entry, duplicate checking, verification, and publication.","Necessária/bloqueante"
"US15_CS_02","US15","Sistêmica","CS","Component responsible for storing pending and published center records","The Facility Directory stores pending and published center records","The Facility Directory stores pending and published center records.","Necessária/bloqueante"
"US15_CS_03","US15","Sistêmica","CS","Component responsible for storing and Notification Service support verification evidence and communication with the center","The Document Store and Notification Service support verification evidence and communication with the center","The Document Store and Notification Service support verification evidence and communication with the center.","Útil/não bloqueante"
"US16_CL_01","US16","Léxica","CL","Definition of round","one estimation cycle for one item","A round is one estimation cycle for one item.","Necessária/bloqueante"
"US16_CL_02","US16","Léxica","CL","Definition of item","the text that participants will estimate during the round","An item is the text that participants will estimate during the round.","Necessária/bloqueante"
"US16_CL_03","US16","Léxica","CL","Definition of multiline text field","one input control that accepts line breaks","A multiline text field is one input control that accepts line breaks.","Necessária/bloqueante"
"US16_CO_01","US16","Operacional","CO","Maximum limit applicable to item","The item must contain at least one non-whitespace character and may contain up to 5,000 characters","The item must contain at least one non-whitespace character and may contain up to 5,000 characters.","Necessária/bloqueante"
"US16_CO_02","US16","Operacional","CO","Lifecycle rule for Starting the round","Starting the round locks the item text and opens estimate submission for active estimators","Starting the round locks the item text and opens estimate submission for active estimators.","Necessária/bloqueante"
"US16_CO_03","US16","Operacional","CO","Lifecycle rule for moderator","The moderator must cancel the current round before replacing the item with different text","The moderator must cancel the current round before replacing the item with different text.","Necessária/bloqueante"
"US16_CD_01","US16","Decisória","CD","Rationale for selecting single free-text field","A single free-text field was selected instead of a structured story form to support different estimation content","A single free-text field was selected instead of a structured story form to support different estimation content.","Útil/não bloqueante"
"US16_CD_02","US16","Decisória","CD","Decision on authorization: Only the moderator may start a round","Only the moderator may start a round","Only the moderator may start a round.","Útil/não bloqueante"
"US16_CD_03","US16","Decisória","CD","Rationale for rejecting Editing after the round starts","Editing after the round starts was rejected because it could invalidate estimates already submitted","Editing after the round starts was rejected because it could invalidate estimates already submitted.","Útil/não bloqueante"
"US16_CS_01","US16","Sistêmica","CS","System responsibility or dependency involving Moderator Interface collects the item text and start action","The Moderator Interface collects the item text and start action","The Moderator Interface collects the item text and start action.","Necessária/bloqueante"
"US16_CS_02","US16","Sistêmica","CS","Component responsible for creating the round and associates the item with it","The Game Service creates the round and associates the item with it","The Game Service creates the round and associates the item with it.","Necessária/bloqueante"
"US16_CS_03","US16","Sistêmica","CS","Component responsible for delivering active estimators that a new round is available","The Realtime Gateway notifies active estimators that a new round is available","The Realtime Gateway notifies active estimators that a new round is available.","Necessária/bloqueante"
"US17_CL_01","US17","Léxica","CL","Definition of local time zone","the IANA time-zone identifier associated with the moderator","A local time zone is the IANA time-zone identifier associated with the moderator.","Necessária/bloqueante"
"US17_CL_02","US17","Léxica","CL","Definition of event timestamp","a stored date-and-time value associated with a game action","An event timestamp is a stored date-and-time value associated with a game action.","Necessária/bloqueante"
"US17_CL_03","US17","Léxica","CL","Definition of Display time","the localized representation shown in the user interface","Display time is the localized representation shown in the user interface.","Necessária/bloqueante"
"US17_CO_01","US17","Operacional","CO","Operational rule governing Timestamps","Timestamps are stored in UTC and converted when displayed","Timestamps are stored in UTC and converted when displayed.","Necessária/bloqueante"
"US17_CO_02","US17","Operacional","CO","Operational rule governing profile time zone","The profile time zone is used when available; otherwise, the browser time zone is used for the current session","The profile time zone is used when available; otherwise, the browser time zone is used for the current session.","Necessária/bloqueante"
"US17_CO_03","US17","Operacional","CO","Operational rule governing Displayed dates","Displayed dates include the time-zone abbreviation and account for daylight-saving transitions","Displayed dates include the time-zone abbreviation and account for daylight-saving transitions.","Necessária/bloqueante"
"US17_CD_01","US17","Decisória","CD","Rationale for selecting UTC","UTC was selected as the storage representation to keep persisted timestamps consistent","UTC was selected as the storage representation to keep persisted timestamps consistent.","Útil/não bloqueante"
"US17_CD_02","US17","Decisória","CD","Rationale for selecting profile time zone","The profile time zone was selected as the preferred source so displays remain consistent across devices","The profile time zone was selected as the preferred source so displays remain consistent across devices.","Útil/não bloqueante"
"US17_CD_03","US17","Decisória","CD","Decision to keep Manual per-screen time-zone conversion controls outside scope","Manual per-screen time-zone conversion controls are outside the initial scope","Manual per-screen time-zone conversion controls are outside the initial scope.","Útil/não bloqueante"
"US17_CS_01","US17","Sistêmica","CS","Source of the moderator's configured time zone","The User Profile Service provides the moderator's configured time zone","The User Profile Service provides the moderator's configured time zone.","Necessária/bloqueante"
"US17_CS_02","US17","Sistêmica","CS","Component responsible for processing stored UTC timestamps for display","The Time Conversion component converts stored UTC timestamps for display","The Time Conversion component converts stored UTC timestamps for display.","Necessária/bloqueante"
"US17_CS_03","US17","Sistêmica","CS","Component responsible for storing and exchange UTC timestamps","Game and audit services continue to store and exchange UTC timestamps","Game and audit services continue to store and exchange UTC timestamps.","Útil/não bloqueante"
"US18_CL_01","US18","Léxica","CL","Definition of estimator","a participant who can submit estimates in a game","An estimator is a participant who can submit estimates in a game.","Necessária/bloqueante"
"US18_CL_02","US18","Léxica","CL","Definition of invitation page","the page opened from a valid game invitation URL","The invitation page is the page opened from a valid game invitation URL.","Necessária/bloqueante"
"US18_CL_03","US18","Léxica","CL","Definition of display name","the name shown to other participants within the game","A display name is the name shown to other participants within the game.","Necessária/bloqueante"
"US18_CO_01","US18","Operacional","CO","Operational rule governing invitation URL","The invitation URL must refer to an active game","The invitation URL must refer to an active game.","Necessária/bloqueante"
"US18_CO_02","US18","Operacional","CO","Required data or conditions for The","The display name must contain 1 to 40 visible characters and must be unique among current participants","The display name must contain 1 to 40 visible characters and must be unique among current participants.","Necessária/bloqueante"
"US18_CO_03","US18","Operacional","CO","Authorization rule for After successful submission, the estimator","After successful submission, the estimator is added to the game lobby and may participate in open rounds","After successful submission, the estimator is added to the game lobby and may participate in open rounds.","Necessária/bloqueante"
"US18_CD_01","US18","Decisória","CD","Rationale for selecting Display-name-only entry","Display-name-only entry was selected to reduce joining friction","Display-name-only entry was selected to reduce joining friction.","Útil/não bloqueante"
"US18_CD_02","US18","Decisória","CD","Prior decision or rationale concerning Duplicate display names are rejected to avoid ambiguity during the game","Duplicate display names are rejected to avoid ambiguity during the game","Duplicate display names are rejected to avoid ambiguity during the game.","Útil/não bloqueante"
"US18_CD_03","US18","Decisória","CD","Prior decision or rationale concerning Possession of the invitation link grants estimator access but does not grant moderator permissions","Possession of the invitation link grants estimator access but does not grant moderator permissions","Possession of the invitation link grants estimator access but does not grant moderator permissions.","Útil/não bloqueante"
"US18_CS_01","US18","Sistêmica","CS","Component responsible for validating the URL token and game status","The Invitation Service validates the URL token and game status","The Invitation Service validates the URL token and game status.","Necessária/bloqueante"
"US18_CS_02","US18","Sistêmica","CS","Component responsible for storing the display name","The Participant Registry checks and stores the display name","The Participant Registry checks and stores the display name.","Necessária/bloqueante"
"US18_CS_03","US18","Sistêmica","CS","Component responsible for delivering the updated participant list","The Lobby Service adds the estimator and broadcasts the updated participant list","The Lobby Service adds the estimator and broadcasts the updated participant list.","Necessária/bloqueante"
"US19_CL_01","US19","Léxica","CL","Definition of attendee","a person eligible to register for training","An attendee is a person eligible to register for training.","Necessária/bloqueante"
"US19_CL_02","US19","Léxica","CL","Definition of training waitlist","an ordered list for a class that has no available places","A training waitlist is an ordered list for a class that has no available places.","Necessária/bloqueante"
"US19_CL_03","US19","Léxica","CL","Definition of available place","a seat released or added after the class reached capacity","An available place is a seat released or added after the class reached capacity.","Necessária/bloqueante"
"US19_CO_01","US19","Operacional","CO","Authorization rule for attendee","An attendee may join the waitlist only while registration is open and the class is full","An attendee may join the waitlist only while registration is open and the class is full.","Necessária/bloqueante"
"US19_CO_02","US19","Operacional","CO","Ordering or ranking rule for Waitlist","Waitlist order is based on the timestamp of successful entry","Waitlist order is based on the timestamp of successful entry.","Necessária/bloqueante"
"US19_CO_03","US19","Operacional","CO","System behavior when a place becomes available","When a place becomes available, the first eligible attendee is notified and has 24 hours to accept it","When a place becomes available, the first eligible attendee is notified and has 24 hours to accept it.","Necessária/bloqueante"
"US19_CD_01","US19","Decisória","CD","Rationale for selecting First-come, first-served ordering","First-come, first-served ordering was selected because it is transparent and easy to audit","First-come, first-served ordering was selected because it is transparent and easy to audit.","Útil/não bloqueante"
"US19_CD_02","US19","Decisória","CD","Prior decision or rationale concerning waitlist notification does not automatically enroll the attendee","A waitlist notification does not automatically enroll the attendee","A waitlist notification does not automatically enroll the attendee.","Útil/não bloqueante"
"US19_CD_03","US19","Decisória","CD","Prior decision or rationale concerning Coordinators may remove entries that are duplicates or no longer eligible","Coordinators may remove entries that are duplicates or no longer eligible, with a recorded reason","Coordinators may remove entries that are duplicates or no longer eligible, with a recorded reason.","Útil/não bloqueante"
"US19_CS_01","US19","Sistêmica","CS","Source of class capacity, registration status, and eligibility rules","The Training Catalog provides class capacity, registration status, and eligibility rules","The Training Catalog provides class capacity, registration status, and eligibility rules.","Necessária/bloqueante"
"US19_CS_02","US19","Sistêmica","CS","Component responsible for storing the ordered entries and identifies the next eligible attendee","The Waitlist Service stores the ordered entries and identifies the next eligible attendee","The Waitlist Service stores the ordered entries and identifies the next eligible attendee.","Necessária/bloqueante"
"US19_CS_03","US19","Sistêmica","CS","Component responsible for delivering the offer, and the Enrollment Service confirms acceptance","The Notification Service sends the offer, and the Enrollment Service confirms acceptance","The Notification Service sends the offer, and the Enrollment Service confirms acceptance.","Útil/não bloqueante"
"US20_CL_01","US20","Léxica","CL","Definition of summit coordinator","a user assigned to manage a specific summit","A summit coordinator is a user assigned to manage a specific summit.","Necessária/bloqueante"
"US20_CL_02","US20","Léxica","CL","Definition of registered attendee","a person with a confirmed registration for that summit","A registered attendee is a person with a confirmed registration for that summit.","Necessária/bloqueante"
"US20_CL_03","US20","Léxica","CL","Definition of attendee list","a coordinator view containing permitted contact and registration fields","The attendee list is a coordinator view containing permitted contact and registration fields.","Necessária/bloqueante"
"US20_CO_01","US20","Operacional","CO","Operational rule governing list","The list includes attendee name, email address, registration status, and registration date","The list includes attendee name, email address, registration status, and registration date.","Necessária/bloqueante"
"US20_CO_02","US20","Operacional","CO","Eligibility rule for Only confirmed attendees who","Only confirmed attendees who have not opted out of event communication are available for bulk email","Only confirmed attendees who have not opted out of event communication are available for bulk email.","Necessária/bloqueante"
"US20_CO_03","US20","Operacional","CO","Eligibility rule for coordinator","The coordinator may email all eligible attendees or a selected subset","The coordinator may email all eligible attendees or a selected subset.","Necessária/bloqueante"
"US20_CD_01","US20","Decisória","CD","Prior decision or rationale concerning Email addresses are visible only to coordinators assigned to the summit","Email addresses are visible only to coordinators assigned to the summit","Email addresses are visible only to coordinators assigned to the summit.","Útil/não bloqueante"
"US20_CD_02","US20","Decisória","CD","Prior decision or rationale concerning Bulk messages are sent through the platform rather than exposing recipients to one another","Bulk messages are sent through the platform rather than exposing recipients to one another","Bulk messages are sent through the platform rather than exposing recipients to one another.","Útil/não bloqueante"
"US20_CD_03","US20","Decisória","CD","Rationale for choosing list reflects current registration status","The list reflects current registration status instead of a manually maintained copy","The list reflects current registration status instead of a manually maintained copy.","Útil/não bloqueante"
"US20_CS_01","US20","Sistêmica","CS","Source of attendees and registration status","The Registration Service provides attendees and registration status","The Registration Service provides attendees and registration status.","Necessária/bloqueante"
"US20_CS_02","US20","Sistêmica","CS","Component responsible for validating that the coordinator is assigned to the summit","The Authorization Service verifies that the coordinator is assigned to the summit","The Authorization Service verifies that the coordinator is assigned to the summit.","Necessária/bloqueante"
"US20_CS_03","US20","Sistêmica","CS","Component responsible for storing delivery outcomes without exposing recipient addresses","The Email Service sends messages and records delivery outcomes without exposing recipient addresses","The Email Service sends messages and records delivery outcomes without exposing recipient addresses.","Útil/não bloqueante"
"US21_CL_01","US21","Léxica","CL","Definition of building","a named structure within the event venue","A building is a named structure within the event venue.","Necessária/bloqueante"
"US21_CL_02","US21","Léxica","CL","Definition of room","a named space located inside a building","A room is a named space located inside a building.","Necessária/bloqueante"
"US21_CL_03","US21","Léxica","CL","Definition of venue map","a visual representation linking buildings, rooms, entrances, and paths","A venue map is a visual representation linking buildings, rooms, entrances, and paths.","Necessária/bloqueante"
"US21_CO_01","US21","Operacional","CO","Operational rule governing map","The map must allow attendees to search by building, room, or scheduled class","The map must allow attendees to search by building, room, or scheduled class.","Necessária/bloqueante"
"US21_CO_02","US21","Operacional","CO","Authorization rule for Selecting a class highlights its assigned building and room","Selecting a class highlights its assigned building and room","Selecting a class highlights its assigned building and room.","Necessária/bloqueante"
"US21_CO_03","US21","Operacional","CO","Operational rule governing map","The map displays public entrances and accessible routes when those data are available","The map displays public entrances and accessible routes when those data are available.","Necessária/bloqueante"
"US21_CD_01","US21","Decisória","CD","Rationale for selecting Organizer-provided venue plans","Organizer-provided venue plans were selected as the authoritative source","Organizer-provided venue plans were selected as the authoritative source.","Útil/não bloqueante"
"US21_CD_02","US21","Decisória","CD","Rationale for selecting Interactive markers over static floor plans","Interactive markers over static floor plans were selected for the initial version","Interactive markers over static floor plans were selected for the initial version.","Útil/não bloqueante"
"US21_CD_03","US21","Decisória","CD","Decision to keep Real-time indoor positioning and turn-by-turn indoor navigation outside scope","Real-time indoor positioning and turn-by-turn indoor navigation are outside the initial scope","Real-time indoor positioning and turn-by-turn indoor navigation are outside the initial scope.","Útil/não bloqueante"
"US21_CS_01","US21","Sistêmica","CS","Source of building, room, entrance, and map-location data","The Venue Catalog supplies building, room, entrance, and map-location data","The Venue Catalog supplies building, room, entrance, and map-location data.","Necessária/bloqueante"
"US21_CS_02","US21","Sistêmica","CS","Source of the room assigned to each attendee's class","The Schedule Service supplies the room assigned to each attendee's class","The Schedule Service supplies the room assigned to each attendee's class.","Necessária/bloqueante"
"US21_CS_03","US21","Sistêmica","CS","Dependency used by The Map Interface to obtain map assets from the Content Delivery Service and displays the highlighted location","The Map Interface retrieves map assets from the Content Delivery Service and displays the highlighted location","The Map Interface retrieves map assets from the Content Delivery Service and displays the highlighted location.","Útil/não bloqueante"
"US22_CL_01","US22","Léxica","CL","Definition of user profile","the set of declared interests and recorded content interactions associated with a user","A user profile is the set of declared interests and recorded content interactions associated with a user.","Necessária/bloqueante"
"US22_CL_02","US22","Léxica","CL","Definition of Similar profiles","profiles with comparable interest and interaction patterns","Similar profiles are profiles with comparable interest and interaction patterns.","Necessária/bloqueante"
"US22_CL_03","US22","Léxica","CL","Definition of content recommendation","a ranked suggestion from the eligible content catalog","A content recommendation is a ranked suggestion from the eligible content catalog.","Necessária/bloqueante"
"US22_CO_01","US22","Operacional","CO","Operational rule governing Similarity","Similarity is calculated from shared interests, viewed content, saved content, and positive feedback","Similarity is calculated from shared interests, viewed content, saved content, and positive feedback.","Necessária/bloqueante"
"US22_CO_02","US22","Operacional","CO","Maximum limit applicable to system","The system returns up to ten eligible items that the current user has not already dismissed","The system returns up to ten eligible items that the current user has not already dismissed.","Necessária/bloqueante"
"US22_CO_03","US22","Operacional","CO","Operational rule governing Users with insufficient history","Users with insufficient history receive non-personalized popular content instead","Users with insufficient history receive non-personalized popular content instead.","Necessária/bloqueante"
"US22_CD_01","US22","Decisória","CD","Decision to exclude Demographic attributes","Demographic attributes were excluded from profile similarity","Demographic attributes were excluded from profile similarity.","Útil/não bloqueante"
"US22_CD_02","US22","Decisória","CD","Rationale for selecting Collaborative behavioral similarity","Collaborative behavioral similarity was selected as the primary recommendation approach","Collaborative behavioral similarity was selected as the primary recommendation approach.","Útil/não bloqueante"
"US22_CD_03","US22","Decisória","CD","Decision on user control over personalization","Users may disable the use of their interaction history for personalized recommendations","Users may disable the use of their interaction history for personalized recommendations.","Útil/não bloqueante"
"US22_CS_01","US22","Sistêmica","CS","Source of declared interests and privacy settings","The Profile Service provides declared interests and privacy settings","The Profile Service provides declared interests and privacy settings.","Necessária/bloqueante"
"US22_CS_02","US22","Sistêmica","CS","Source of eligible behavioral events","The Interaction History Service provides eligible behavioral events","The Interaction History Service provides eligible behavioral events.","Necessária/bloqueante"
"US22_CS_03","US22","Sistêmica","CS","Component responsible for processing items from the Content Catalog","The Recommendation Engine compares profiles and ranks items from the Content Catalog","The Recommendation Engine compares profiles and ranks items from the Content Catalog.","Necessária/bloqueante"
"US23_CL_01","US23","Léxica","CL","Definition of news event","a verified occurrence described by one or more news reports","A news event is a verified occurrence described by one or more news reports.","Necessária/bloqueante"
"US23_CL_02","US23","Léxica","CL","Meaning of Relevant","that the event matches the user's interests and passes recency and proximity criteria","Relevant means that the event matches the user's interests and passes recency and proximity criteria.","Necessária/bloqueante"
"US23_CL_03","US23","Léxica","CL","Definition of user's area","the municipality associated with the user's profile","The user's area is the municipality associated with the user's profile.","Necessária/bloqueante"
"US23_CO_01","US23","Operacional","CO","Eligibility rule for Eligible events","Eligible events must have been published or updated within the previous 48 hours","Eligible events must have been published or updated within the previous 48 hours.","Necessária/bloqueante"
"US23_CO_02","US23","Operacional","CO","Ordering or ranking rule for Events","Events are ranked using topic match, recency, proximity, and source reliability, and the top ten are returned","Events are ranked using topic match, recency, proximity, and source reliability, and the top ten are returned.","Necessária/bloqueante"
"US23_CO_03","US23","Operacional","CO","Conflict-handling rule for Duplicate reports about the same event","Duplicate reports about the same event are grouped before recommendations are generated","Duplicate reports about the same event are grouped before recommendations are generated.","Necessária/bloqueante"
"US23_CD_01","US23","Decisória","CD","Rationale for selecting registered municipality","The registered municipality was selected instead of continuous GPS tracking as the source of user area","The registered municipality was selected instead of continuous GPS tracking as the source of user area.","Útil/não bloqueante"
"US23_CD_02","US23","Decisória","CD","Prior decision or rationale concerning Verified local sources are prioritized over unverified or purely syndicated sources","Verified local sources are prioritized over unverified or purely syndicated sources","Verified local sources are prioritized over unverified or purely syndicated sources.","Útil/não bloqueante"
"US23_CD_03","US23","Decisória","CD","Decision to separate These recommendations","These recommendations are separate from urgent breaking-news alerts","These recommendations are separate from urgent breaking-news alerts.","Útil/não bloqueante"
"US23_CS_01","US23","Sistêmica","CS","System responsibility or dependency involving News Ingestion Service collects reports and groups them into events","The News Ingestion Service collects reports and groups them into events","The News Ingestion Service collects reports and groups them into events.","Necessária/bloqueante"
"US23_CS_02","US23","Sistêmica","CS","Source of the user's municipality and declared interests","The Profile Service provides the user's municipality and declared interests","The Profile Service provides the user's municipality and declared interests.","Necessária/bloqueante"
"US23_CS_03","US23","Sistêmica","CS","Component responsible for delivering the selected content to the home feed","The Recommendation Engine ranks events and sends the selected content to the home feed","The Recommendation Engine ranks events and sends the selected content to the home feed.","Necessária/bloqueante"
