"Classification_ID","Run_ID","US_ID","Condition","Question_ID","Segment_ID","Question_Original","Final_Gap_Label","Gap_ID","Duplicate_Group","Primary_Question","J1_Category","J2_Category","J3_Category","J1_Coverage","J2_Coverage","J3_Coverage","J1_Relevance","J2_Relevance","J3_Relevance","Final_Category","Final_Coverage","Final_Relevance","Final_Evidence","Final_Observation"
"CLS0001","US02_C0_R1","US02","C0","Q01","S01","Which facility details must each search result display so the user can decide which facilities to consider?","Facility details displayed in search results","US02_G01","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","the reference material also leaves the result fields unspecified."
"CLS0002","US02_C0_R1","US02","C0","Q02","S01","What ZIP code formats are valid for search input?","Accepted ZIP code format","US02_G02","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.",""
"CLS0003","US02_C0_R1","US02","C0","Q03","S01","What data source provides facility records and their active/verified status?","Source of facility records and status","US02_G03","","Yes","Systemic","Systemic","Systemic","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Systemic","Unanswered","Necessary","Not found in the execution material.",""
"CLS0004","US02_C0_R1","US02","C0","Q04","S01","Should results include material types accepted by each facility? Answer: yes or no.","Facility details displayed in search results","US02_G01","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Useful","Useful","Operational","Unanswered","Useful","ABSENT. The user story does not specify whether accepted material types are part of the result content.","Refinement of the result-content gap (see row 2); does not block implementation."
"CLS0005","US02_C0_R1","US02","C0","Q05","S01","How should facilities at the same distance be ordered?","Tie-breaking rule for equal-distance facilities","US02_G04","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Useful","Operational","Unanswered","Necessary","Not found in the execution material.","The reference defines the general ordering rule; the tie-breaking criterion remains unspecified. | Related reference answer exists but was not provided in this execution condition: US02_CO_03: ""Results are ordered by distance from the geographic center of the submitted ZIP code."" (reference sheet; not provided under C0)"
"CLS0006","US02_CD_R1","US02","CD","Q01","S01","Should ZIP input accept only 5-digit U.S. ZIP codes, or also ZIP+4 format?","Accepted ZIP code format","US02_G02","DUP001","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material. | Related reference answer exists but was not provided in this execution condition: US02_CO_01: ""The ZIP code must be validated before the search is submitted."" (reference sheet; not provided under CD)"
"CLS0007","US02_CD_R1","US02","CD","Q02","S01","What facility details must appear in each result so users can decide which facilities to consider?","Facility details displayed in search results","US02_G01","DUP002","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID."
"CLS0008","US02_CD_R1","US02","CD","Q03","S01","What should break ties when multiple facilities have the same calculated distance?","Tie-breaking rule for equal-distance facilities","US02_G04","DUP003","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Useful","Operational","Unanswered","Necessary","Not found in the execution material.","The reference defines the ordering rule; the tie-breaking criterion remains unspecified. | Equivalent duplicate in the same Run_ID. | Related reference answer exists but was not provided in this execution condition: US02_CO_03: ""Results are ordered by distance from the geographic center of the submitted ZIP code."" (reference sheet; not provided under CD)"
"CLS0009","US02_CD_R1","US02","CD","Q04","S01","What user-facing outcome is required when a valid ZIP code cannot be geocoded?","Geocoding failure user-facing outcome","US02_G05","DUP004","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Emergent gap. | Equivalent duplicate in the same Run_ID."
"CLS0010","US02_CD_R1","US02","CD","Q05","S01","What source of truth defines whether a facility is active and verified?","Source of truth for facility active/verified status","US02_G06","DUP005","Yes","Systemic","Systemic","Systemic","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Systemic","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0016","US02_CL_R1","US02","CL","Q01","S01","What information must each facility result display?","Facility details displayed in search results","US02_G01","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Partial coverage was reviewed against the execution material."
"CLS0017","US02_CL_R1","US02","CL","Q02","S01","Which ZIP code formats are valid?","Accepted ZIP code format","US02_G02","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","The lexical definition of ZIP code does not cover valid input formats. | Partial coverage was reviewed against the execution material."
"CLS0018","US02_CL_R1","US02","CL","Q03","S01","What should determine ordering when multiple facilities have the same calculated distance?","Tie-breaking rule for equal-distance facilities","US02_G04","","Yes","Decisional","Operational","Decisional","Partially answered","Unanswered","Unanswered","Necessary","Necessary","Useful","Decisional","Unanswered","Necessary","CTX CL — ""A result list is an ordered collection of matching facilities, not a saved favorites list."" (context provided in this run)","The provided definition states that the list is ordered but gives no ordering or tie-breaking rule; see also REF US02_CO_03."
"CLS0019","US02_CL_R1","US02","CL","Q04","S01","What facility data source should searches use?","Source of facility records and status","US02_G03","","Yes","Systemic","Systemic","Systemic","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Systemic","Unanswered","Necessary","Not found in the execution material.",""
"CLS0020","US02_CL_R1","US02","CL","Q05","S01","What should happen if the facility data source is unavailable during search?","Geocoding/facility directory unavailable behavior","US02_G07","","Yes","Systemic","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. No provided material or reference entry defines the behavior when the facility data source is unavailable.","Emergent gap."
"CLS0021","US02_CO_R1","US02","CO","Q01","S01","What facility details must appear in each search result so users can decide which facilities to consider?","Facility details displayed in search results","US02_G01","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.",""
"CLS0022","US02_CO_R1","US02","CO","Q02","S01","Which ZIP code formats are valid: 5-digit only, ZIP+4, or both?","Accepted ZIP code format","US02_G02","DUP006","Yes","Operational","Operational","Operational","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Operational","Partially answered","Necessary","CTX CO: ""The ZIP code must be validated before the search is submitted."" (context provided in this run)","The validation rule is present, but the set of accepted formats is unspecified. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0023","US02_CO_R1","US02","CO","Q03","S01","When multiple facilities have the same distance, how should ties be ordered?","Tie-breaking rule for equal-distance facilities","US02_G04","","Yes","Decisional","Operational","Operational","Partially answered","Unanswered","Partially answered","Necessary","Necessary","Useful","Operational","Partially answered","Necessary","Results have previous ordering, but lack a tie-breaker criterion.","The quoted rule covers general ordering; the tie-breaking criterion is absent. | Partial coverage was reviewed against the execution material."
"CLS0024","US02_CO_R1","US02","CO","Q04","S01","What should happen if the facility directory or geocoding lookup is unavailable?","Geocoding/facility directory unavailable behavior","US02_G07","","Yes","Systemic","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. The operational context does not define the behavior when the facility directory or geocoding lookup is unavailable.","Emergent gap."
"CLS0025","US02_CO_R1","US02","CO","Q05","S01","Does “active facilities” require only active status, or both active and verified status?","Active versus verified facility status requirement","US02_G08","DUP007","Yes","Operational","Lexical","Decisional","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Decisional","Unanswered","Necessary","No explicit statement in the User Story or supplied context defines whether “active facilities” means active status only or both active and verified status.","A related decision exists in the reference (US02_CD_03: inactive and unverified facilities are excluded), which was not provided in this run. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0028","US02_CS_R1","US02","CS","Q01","S01","What ZIP code formats must be accepted?","Accepted ZIP code format","US02_G02","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.",""
"CLS0029","US02_CS_R1","US02","CS","Q02","S01","What facility details must appear in each result so users can decide which facilities to consider?","Facility details displayed in search results","US02_G01","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Partial coverage was reviewed against the execution material."
"CLS0030","US02_CS_R1","US02","CS","Q03","S01","If multiple facilities have the same calculated distance, how should they be ordered?","Tie-breaking rule for equal-distance facilities","US02_G04","","Yes","Decisional","Operational","Decisional","Partially answered","Unanswered","Unanswered","Necessary","Necessary","Useful","Decisional","Unanswered","Necessary","Not found in the execution material.","CTX CS — ""The Search Service ranks the facilities and sends the result list to the web interface."" names the responsible component but not the ordering rule. | Related reference answer exists but was not provided in this execution condition: US02_CO_03: ""Results are ordered by distance from the geographic center of the submitted ZIP code."" (reference sheet; not provided under CS)"
"CLS0031","US02_CS_R1","US02","CS","Q04","S01","What should happen when the Geocoding Service or Facility Directory is unavailable?","Geocoding/facility directory unavailable behavior","US02_G07","","Yes","Systemic","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. The systemic context names the Geocoding Service and the Facility Directory but does not define behavior when they are unavailable.","Emergent gap. | Partial coverage was reviewed against the execution material."
"CLS0032","US02_CS_R1","US02","CS","Q05","S01","Should the search include only general recycling facilities or filter by accepted material type?","Accepted material type filtering scope","US02_G09","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Useful","Useful","Operational","Unanswered","Useful","ABSENT. Neither the user story nor the provided context addresses filtering by accepted material type.","Scope extension; does not block the core search flow."
"CLS0033","US02_CT_R1","US02","CT","Q01","S01","Which ZIP code formats must be accepted: 5-digit only, ZIP+4, or both?","Accepted ZIP code format","US02_G02","DUP008","Yes","Operational","Operational","Operational","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Operational","Partially answered","Necessary","CTX CO (within CT): ""The ZIP code must be validated before the search is submitted.""","The stated validation rule implies a defined set of accepted formats, but the set itself is unspecified. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0034","US02_CT_R1","US02","CT","Q02","S01","What facility details must each search result display, such as name, address, distance, contact info, or accepted materials?","Facility details displayed in search results","US02_G01","DUP009","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Emergent gap. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0035","US02_CT_R1","US02","CT","Q03","S01","How should the system respond if the Geocoding Service or Facility Directory is unavailable?","Geocoding/facility directory unavailable behavior","US02_G07","DUP010","Yes","Systemic","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. None of the four context blocks defines behavior when the Geocoding Service or Facility Directory is unavailable.","Emergent gap. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0036","US02_CT_R1","US02","CT","Q04","S01","How should facilities with the same calculated distance be ordered?","Tie-breaking rule for equal-distance facilities","US02_G04","DUP011","Yes","Decisional","Operational","Decisional","Partially answered","Unanswered","Unanswered","Necessary","Necessary","Useful","Decisional","Unanswered","Necessary","CTX CO (within CT): ""Results are ordered by distance from the geographic center of the submitted ZIP code.""","The quoted rule covers general ordering; the tie-breaking criterion is absent. | Equivalent duplicate in the same Run_ID."
"CLS0037","US02_CT_R1","US02","CT","Q05","S01","Should submitted ZIP codes or search activity be stored, and if so, for what purpose?","ZIP code or search activity retention decision","US02_G10","DUP012","Yes","Decisional","Decisional","Decisional","Unanswered","Unanswered","Unanswered","Necessary","Useful","Useful","Decisional","Unanswered","Useful","ABSENT. No context block addresses retention of submitted ZIP codes or search activity.","Emergent gap; the decisional block covers other privacy decisions but not data retention. | Equivalent duplicate in the same Run_ID."
"CLS0043","US08_C0_R1","US08","C0","Q01","S01","When is the required estimator set fixed for a voting round: at round start, dynamically based on currently connected estimators, or only after each participant’s role is confirmed?","Required estimator set definition timing","US08_G01","DUP013","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID."
"CLS0044","US08_C0_R1","US08","C0","Q02","S01","If an active estimator disconnects before submitting, should their absence immediately reduce the completion count and possibly trigger reveal?","Disconnect-before-submit reveal trigger behavior","US08_G02","DUP014","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID. | Related reference answer exists but was not provided in this execution condition: US08_CD_02: ""Spectators and disconnected participants are excluded from the completion count."" (reference sheet; not provided under C0)"
"CLS0045","US08_C0_R1","US08","C0","Q03","S01","Are spectators allowed to see revealed estimates once the reveal condition is met, or only active estimators and the moderator?","Visibility of revealed estimates to participant roles/reconnections","US08_G03","DUP015","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Useful","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID."
"CLS0046","US08_C0_R1","US08","C0","Q04","S01","If the moderator closes voting when no estimates have been submitted, should the round enter a revealed/closed state with no estimates, or remain unrevealed?","Zero-estimate moderator closure behavior","US08_G04","DUP016","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. No provided material or reference entry defines the round state when voting is closed with no estimates.",". | Equivalent duplicate in the same Run_ID."
"CLS0047","US08_C0_R1","US08","C0","Q05","S01","After estimates are revealed, may late-joining or reconnected participants see the revealed estimates for that round?","Visibility of revealed estimates to participant roles/reconnections","US08_G03","DUP017","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Useful","Useful","Operational","Unanswered","Useful","ABSENT. No provided material or reference entry addresses visibility for late-joining or reconnected participants.",". | Equivalent duplicate in the same Run_ID."
"CLS0053","US08_CD_R1","US08","CD","Q01","S01","When is the set of “active estimators” determined for a voting round: at round start, dynamically from currently connected eligible participants, or another rule?","Required estimator set definition timing","US08_G01","DUP018","Yes","Operational","Operational","Decisional","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Useful","Operational","Unanswered","Necessary","Not found in the execution material.","The exclusion suggests a dynamically maintained set; the exact rule for when the set is fixed is not stated. | Equivalent duplicate in the same Run_ID."
"CLS0054","US08_CD_R1","US08","CD","Q02","S01","If an active estimator disconnects after submitting but before reveal, should their submitted estimate still be revealed?","Disconnected submitter estimate reveal behavior","US08_G05","DUP019","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","The provided decisional context covers only the completion count, not the fate of stored estimates. | Equivalent duplicate in the same Run_ID. | Related reference answer exists but was not provided in this execution condition: US08_CO_02: ""All stored estimates are revealed in one broadcast event."" (reference sheet; not provided under CD)"
"CLS0055","US08_CD_R1","US08","CD","Q03","S01","If an estimator submits, disconnects, and later reconnects before reveal, should they count as submitted for completion?","Reconnected submitter completion status","US08_G06","DUP020","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","CTX CD: ""Spectators and disconnected participants are excluded from the completion count."" (context provided in this run)","Exclusion on disconnect is covered; the reconnection case is not addressed. | Equivalent duplicate in the same Run_ID."
"CLS0056","US08_CD_R1","US08","CD","Q04","S01","Before reveal, may an estimator change or replace their hidden estimate, or is the first submission final?","Pre-reveal estimate modification rule","US08_G07","DUP021","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Emergent gap. | Equivalent duplicate in the same Run_ID."
"CLS0057","US08_CD_R1","US08","CD","Q05","S01","When the moderator closes voting with no submitted estimates, should the round reveal an empty result, remain unrevealed, or enter a cancelled/closed state?","Zero-estimate moderator closure behavior","US08_G04","DUP022","Yes","Decisional","Operational","Decisional","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Useful","Decisional","Unanswered","Necessary","Not found in the execution material.","Manual closing is covered; the resulting round state with zero estimates is not defined. | Equivalent duplicate in the same Run_ID."
"CLS0063","US08_CL_R1","US08","CL","Q01","S01","If an active estimator disconnects after submitting but before reveal, should their submitted estimate still be revealed?","Disconnected submitter estimate reveal behavior","US08_G05","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Related reference answer exists but was not provided in this execution condition: US08_CO_02: ""All stored estimates are revealed in one broadcast event."" (reference sheet; not provided under CL)"
"CLS0064","US08_CL_R1","US08","CL","Q02","S01","When an active estimator disconnects before submitting, should the system immediately exclude them and reveal if remaining active estimators are complete, or wait for moderator closure?","Disconnect-before-submit reveal trigger behavior","US08_G02","","Yes","Systemic","Operational","Operational","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Operational","Partially answered","Necessary","CTX CL: ""An active estimator is a connected participant who is eligible to estimate in the current round."" (context provided in this run)","By definition, a disconnected participant is no longer an active estimator, which partially answers the exclusion; the reveal-trigger timing is not stated. | Partial coverage was reviewed against the execution material."
"CLS0065","US08_CL_R1","US08","CL","Q03","S01","Should revealed estimates be visible to all participants, including spectators and later reconnecting participants, or only currently connected participants?","Visibility of revealed estimates to participant roles/reconnections","US08_G03","","Yes","Decisional","Operational","Operational","Unanswered","Partially answered","Redundant","Necessary","Necessary","Necessary","Operational","Partially answered","Necessary","CTX CL states that revealing estimates makes all submitted values visible to every participant, but it does not explicitly address spectators or later reconnecting participants.","Visibility to every participant is stated; whether spectators count as participants remains ambiguous."
"CLS0066","US08_CL_R1","US08","CL","Q04","S01","If the moderator closes voting when no estimates have been submitted, should the round enter a revealed/closed state or remain open?","Zero-estimate moderator closure behavior","US08_G04","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. Neither the lexical context nor any reference entry defines the round state when voting is closed with no estimates.","Emergent gap."
"CLS0067","US08_CL_R1","US08","CL","Q05","S01","After reveal, should attempted estimate changes be rejected with feedback, silently ignored, or treated as a request requiring a new round?","Post-reveal estimate change handling","US08_G08","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Useful","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","The reference states the restriction; the requested feedback behavior (reject, ignore, or new-round request) is not specified."
"CLS0068","US08_CO_R1","US08","CO","Q01","S01","When an active estimator disconnects after submitting but before reveal, should their stored estimate still be revealed?","Disconnected submitter estimate reveal behavior","US08_G05","","Yes","Decisional","Operational","Operational","Unanswered","Redundant","Redundant","Necessary","Necessary","Necessary","Operational","Redundant","Necessary","CTX CO: ""All stored estimates are revealed in one broadcast event."" (context provided in this run)","The provided rule already states that every stored estimate is revealed, which covers the disconnected-submitter case."
"CLS0069","US08_CO_R1","US08","CO","Q02","S01","Is the active estimator set fixed at round start, or recalculated dynamically as participants connect/disconnect?","Required estimator set definition timing","US08_G01","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","The term is used, but when the set is fixed is not stated. | Partial coverage was reviewed against the execution material."
"CLS0070","US08_CO_R1","US08","CO","Q03","S01","When the moderator closes voting with no submitted estimates, should the round enter a revealed/closed state or remain unrevealed?","Zero-estimate moderator closure behavior","US08_G04","","Yes","Decisional","Operational","Decisional","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Useful","Decisional","Unanswered","Necessary","Not found in the execution material.","Closing voting implies a reveal trigger; the resulting state with zero estimates is not defined."
"CLS0071","US08_CS_R1","US08","CS","Q01","S01","Is the required estimator set fixed when a voting round starts, or recalculated from the Presence Service at reveal time?","Required estimator set definition timing","US08_G01","DUP023","Yes","Systemic","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","CTX CS: ""The Presence Service provides the set of active estimators."" (context provided in this run)","The source of the set is named; whether it is fixed at round start or recalculated at reveal time is not stated. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0072","US08_CS_R1","US08","CS","Q02","S01","If an estimator disconnects before submitting, should their missing estimate immediately stop blocking reveal, or only after the moderator closes voting?","Disconnect-before-submit reveal trigger behavior","US08_G02","DUP024","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","The reveal-trigger timing after a disconnect remains unspecified. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material. | Related reference answer exists but was not provided in this execution condition: US08_CD_02: ""Spectators and disconnected participants are excluded from the completion count."" (reference sheet; not provided under CS)"
"CLS0073","US08_CS_R1","US08","CS","Q03","S01","Before reveal, may an estimator change or replace their hidden submitted estimate?","Pre-reveal estimate modification rule","US08_G07","DUP025","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Emergent gap; the reference covers only the post-reveal restriction (US08_CO_03). | Equivalent duplicate in the same Run_ID."
"CLS0074","US08_CS_R1","US08","CS","Q04","S01","When the moderator closes voting with zero submitted estimates, should the system reveal an empty result set or leave the round unrevealed?","Zero-estimate moderator closure behavior","US08_G04","DUP026","Yes","Systemic","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. Neither the systemic context nor any reference entry defines the round state when voting is closed with zero estimates.","Emergent gap. | Equivalent duplicate in the same Run_ID."
"CLS0075","US08_CS_R1","US08","CS","Q05","S01","Should participants who reconnect or join after reveal see the already revealed estimates for that round?","Visibility of revealed estimates to participant roles/reconnections","US08_G03","DUP027","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Useful","Useful","Operational","Unanswered","Useful","CTX CS: ""The Realtime Gateway broadcasts the reveal event and all estimates to connected participants."" (context provided in this run)","The broadcast targets participants connected at reveal time; replay for later reconnections is not addressed. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0081","US08_CT_R1","US08","CT","Q01","S01","If an active estimator submits an estimate and then disconnects before reveal, should their stored estimate be included in the reveal?","Disconnected submitter estimate reveal behavior","US08_G05","DUP028","Yes","Decisional","Operational","Operational","Unanswered","Redundant","Redundant","Necessary","Necessary","Necessary","Operational","Redundant","Necessary","CTX CO (within CT): ""All stored estimates are revealed in one broadcast event.""","The provided rule already covers the disconnected-submitter case. | Equivalent duplicate in the same Run_ID."
"CLS0082","US08_CT_R1","US08","CT","Q02","S01","When the moderator closes voting before any estimates have been submitted, what should participants see?","Zero-estimate moderator closure behavior","US08_G04","DUP029","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. None of the four context blocks defines what participants see when voting is closed with no estimates.","Emergent gap. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0083","US08_CT_R1","US08","CT","Q03","S01","After estimates are revealed, who should be able to view revealed estimates?","Visibility of revealed estimates to participant roles/reconnections","US08_G03","DUP030","Yes","Decisional","Operational","Operational","Unanswered","Redundant","Redundant","Necessary","Necessary","Necessary","Operational","Redundant","Necessary","CTX CL (within CT): ""Revealing estimates means making all submitted values visible to every participant.""","Visibility to every participant is stated; late-joining participants remain ambiguous. | Equivalent duplicate in the same Run_ID."
"CLS0084","US08_CT_R1","US08","CT","Q04","S01","If the active estimator set changes during a voting round, when is the required completion count determined?","Required completion count timing when active set changes","US08_G09","DUP031","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Membership exclusions are covered; the exact moment the required count is determined is not. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0085","US08_CT_R1","US08","CT","Q05","S01","If the reveal broadcast fails for some connected participants, what behavior is required?","Reveal broadcast failure behavior","US08_G10","DUP032","Yes","Operational","Operational","Systemic","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Emergent gap. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0091","US19_C0_R1","US19","C0","Q01","S01","Should this feature include only joining the waitlist, or also downstream offer notification, acceptance, expiration, enrollment, and coordinator removal workflows?","Scope of waitlist feature workflows","US19_G01","DUP033","Yes","Decisional","Operational","Decisional","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Decisional","Unanswered","Necessary","Not found in the execution material.","Scope-delimitation question. | Equivalent duplicate in the same Run_ID."
