"Classification_ID","Run_ID","US_ID","Condition","Question_ID","Segment_ID","Question_Original","Final_Gap_Label","Gap_ID","Duplicate_Group","Primary_Question","J1_Category","J2_Category","J3_Category","J1_Coverage","J2_Coverage","J3_Coverage","J1_Relevance","J2_Relevance","J3_Relevance","Final_Category","Final_Coverage","Final_Relevance","Final_Evidence","Final_Observation"
"CLS0092","US19_C0_R1","US19","C0","Q02","S01","What exactly makes an attendee “eligible” to join a training waitlist?","Waitlist eligibility definition","US19_G02","DUP034","Yes","Lexical","Lexical","Lexical","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Lexical","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID."
"CLS0093","US19_C0_R1","US19","C0","Q03","S01","When two attendees join at nearly the same time, what tie-breaker should determine waitlist order?","Tie-breaking rule for simultaneous waitlist joins","US19_G03","DUP035","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Useful","Necessary","Useful","Operational","Unanswered","Useful","Not found in the execution User Story.","The reference defines the base ordering rule; the tie-breaking criterion remains unspecified. | Equivalent duplicate in the same Run_ID."
"CLS0094","US19_C0_R1","US19","C0","Q04","S01","If an attendee already has an active waitlist entry for the same class, should the system reject the new attempt, refresh the existing entry, or show the existing waitlist status?","Duplicate waitlist entry handling","US19_G04","DUP036","Yes","Systemic","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. No provided material or reference entry defines how duplicate waitlist attempts are handled.","A related decision exists in the reference (US19_CD_03), which addresses cleanup rather than join-time behavior. | Equivalent duplicate in the same Run_ID."
"CLS0095","US19_C0_R1","US19","C0","Q05","S01","How should an attendee be “considered when a place becomes available”: manual coordinator review, automatic offer to the first eligible attendee, or another process?","Available-place offer and next-step process","US19_G05","DUP037","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID. | Related reference answer exists but was not provided in this execution condition: US19_CO_03: ""When a place becomes available, the first eligible attendee is notified and has 24 hours to accept it."" (reference sheet; not provided under C0)"
"CLS0101","US19_CD_R1","US19","CD","Q01","S01","When an offered place expires or is declined, should the system automatically offer it to the next eligible waitlisted attendee, or should coordinator action be required?","Available-place offer and next-step process","US19_G05","DUP038","Yes","Systemic","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. Neither the provided decisional context nor any reference entry defines the flow after an offer expires or is declined.","Emergent gap. | Equivalent duplicate in the same Run_ID."
"CLS0102","US19_CD_R1","US19","CD","Q02","S01","If two attendees successfully join at the same timestamp precision, what tie-breaker determines waitlist order?","Tie-breaking rule for simultaneous waitlist joins","US19_G03","","Yes","Operational","Operational","Operational","Partially answered","Unanswered","Partially answered","Useful","Necessary","Useful","Operational","Partially answered","Useful","Results have previous ordering, but lack a tie-breaker criterion.","The rationale confirms the ordering principle; the tie-breaking criterion is absent. See also REF US19_CO_02. | Partial coverage was reviewed against the execution material."
"CLS0103","US19_CD_R1","US19","CD","Q03","S01","What makes an attendee “eligible” for joining or remaining on a training waitlist?","Waitlist eligibility definition","US19_G02","","Yes","Lexical","Lexical","Lexical","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Lexical","Unanswered","Necessary","Not found in the execution material.","The provided context uses ""no longer eligible"" without defining eligibility."
"CLS0104","US19_CD_R1","US19","CD","Q04","S01","How should the system notify an attendee about an available-place offer?","Available-place offer notification channel","US19_G06","","Yes","Systemic","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Useful","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","The reference names the responsible component (Notification Service) but not the channel. | Partial coverage was reviewed against the execution material."
"CLS0105","US19_CD_R1","US19","CD","Q05","S01","After a coordinator removes a waitlist entry, should that attendee be allowed to join the same waitlist again if they later become eligible?","Rejoin eligibility after coordinator removal","US19_G07","DUP039","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Useful","Useful","Operational","Unanswered","Useful","CTX CD: ""Coordinators may remove entries that are duplicates or no longer eligible, with a recorded reason."" (removal covered; re-joining not addressed)","Emergent gap. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0108","US19_CL_R1","US19","CL","Q01","S01","When a waitlist offer expires or is declined, should the system automatically notify the next eligible attendee?","Available-place offer and next-step process","US19_G05","","Yes","Systemic","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. Neither the lexical context nor any reference entry defines the flow after an offer expires or is declined.","Emergent gap."
"CLS0109","US19_CL_R1","US19","CL","Q02","S01","During the 24-hour offer window, is the available place reserved for the notified attendee?","Reservation during offer acceptance window","US19_G08","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","The question presupposes a ""24-hour"" window that is not part of the lexical context provided in this run; that detail exists only in the operational context (REF US19_CO_03). Possible model inference."
"CLS0110","US19_CL_R1","US19","CL","Q03","S01","If two attendees join at the same timestamp, what tie-breaker determines waitlist order?","Tie-breaking rule for simultaneous waitlist joins","US19_G03","","Yes","Operational","Operational","Operational","Partially answered","Unanswered","Unanswered","Useful","Necessary","Useful","Operational","Unanswered","Useful","Not found in the execution material.","The tie-breaking criterion remains unspecified."
"CLS0111","US19_CL_R1","US19","CL","Q04","S01","When should attendee eligibility be rechecked: only on join, only before offer, or both?","Eligibility recheck timing","US19_G09","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. No provided material or reference entry defines when eligibility must be rechecked.",""
"CLS0112","US19_CL_R1","US19","CL","Q05","S01","What information must be recorded for coordinator removals besides the reason?","Coordinator removal record fields","US19_G10","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Useful","Useful","Useful","Operational","Unanswered","Useful","Not found in the execution material.","The question presupposes that ""the reason"" is recorded — a detail from the decisional context not provided in this run. Possible model inference. The reference covers the reason only; additional fields remain unspecified."
"CLS0113","US19_CO_R1","US19","CO","Q01","S01","What eligibility rules determine whether an attendee may join or remain on a waitlist?","Waitlist eligibility definition","US19_G02","","Yes","Operational","Operational","Decisional","Unanswered","Partially answered","Unanswered","Necessary","Necessary","Useful","Operational","Unanswered","Necessary","Not found in the execution material.","The join conditions are stated, but person-level eligibility is not defined."
"CLS0114","US19_CO_R1","US19","CO","Q02","S01","If two successful waitlist entries have the same timestamp, how should their order be determined?","Tie-breaking rule for simultaneous waitlist joins","US19_G03","","Yes","Decisional","Operational","Operational","Partially answered","Unanswered","Partially answered","Necessary","Necessary","Useful","Operational","Partially answered","Necessary","Results have previous ordering, but lack a tie-breaker criterion.","The quoted rule covers base ordering; the tie-breaking criterion is absent. | Partial coverage was reviewed against the execution material."
"CLS0115","US19_CO_R1","US19","CO","Q03","S01","When a waitlist offer expires or is declined, should the next eligible attendee automatically receive an offer? Answer: yes/no.","Available-place offer and next-step process","US19_G05","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","CTX CO: ""When a place becomes available, the first eligible attendee is notified and has 24 hours to accept it."" (context provided in this run)","The first offer is covered; the flow after expiration or decline is absent. | Partial coverage was reviewed against the execution material."
"CLS0116","US19_CO_R1","US19","CO","Q04","S01","Should an attendee be able to join multiple waitlists for different training classes at the same time? Answer: yes/no.","Multiple concurrent waitlist participation","US19_G11","","Yes","Decisional","Operational","Decisional","Unanswered","Unanswered","Unanswered","Necessary","Useful","Useful","Decisional","Unanswered","Useful","Not found in the execution material.",""
"CLS0117","US19_CO_R1","US19","CO","Q05","S01","What information must be recorded when a coordinator removes a waitlist entry?","Coordinator removal record fields","US19_G10","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Useful","Useful","Operational","Unanswered","Useful","Not found in the execution material.","The reference covers the recorded reason; the full set of required fields remains unspecified. | Related reference answer exists but was not provided in this execution condition: US19_CD_03: ""Coordinators may remove entries that are duplicates or no longer eligible, with a recorded reason."" (reference sheet; not provided under CO)"
"CLS0118","US19_CS_R1","US19","CS","Q01","S01","When an available-place offer expires or is declined, what should happen to that waitlist entry?","Available-place offer and next-step process","US19_G05","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. Neither the systemic context nor any reference entry defines what happens to the waitlist entry after an offer expires or is declined.","Emergent gap. | Partial coverage was reviewed against the execution material."
"CLS0119","US19_CS_R1","US19","CS","Q02","S01","After an offer expires, is declined, or the attendee becomes ineligible, should the system automatically offer the place to the next eligible attendee?","Available-place offer and next-step process","US19_G05","","Yes","Systemic","Operational","Operational","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Operational","Partially answered","Necessary","CTX CS: ""The Waitlist Service stores the ordered entries and identifies the next eligible attendee."" (context provided in this run)","Identifying the next eligible attendee is covered; whether an offer is issued automatically is not stated. | Partial coverage was reviewed against the execution material."
"CLS0120","US19_CS_R1","US19","CS","Q03","S01","If multiple attendees join at the same timestamp, what tie-breaker determines waitlist order?","Tie-breaking rule for simultaneous waitlist joins","US19_G03","","Yes","Operational","Operational","Operational","Partially answered","Unanswered","Unanswered","Useful","Necessary","Useful","Operational","Unanswered","Useful","Not found in the execution material.","The tie-breaking criterion remains unspecified."
"CLS0121","US19_CS_R1","US19","CS","Q04","S01","Should attendee eligibility be rechecked when a place becomes available, when the offer is accepted, or both?","Eligibility recheck timing","US19_G09","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","CTX CS: ""The Training Catalog provides class capacity, registration status, and eligibility rules."" (context provided in this run)","The source of eligibility rules is named; when eligibility must be rechecked is not stated. | Partial coverage was reviewed against the execution material."
"CLS0122","US19_CS_R1","US19","CS","Q05","S01","What should happen if the notification service fails to send an available-place offer?","Available-place notification failure behavior","US19_G12","","Yes","Systemic","Operational","Systemic","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Useful","Systemic","Unanswered","Necessary","Not found in the execution material.","Emergent gap. The systemic context names the service without a failure policy. | Partial coverage was reviewed against the execution material."
"CLS0123","US19_CT_R1","US19","CT","Q01","S01","If two attendees successfully join at the same timestamp, what tie-breaker determines waitlist order?","Tie-breaking rule for simultaneous waitlist joins","US19_G03","DUP040","Yes","Operational","Operational","Operational","Partially answered","Unanswered","Partially answered","Useful","Necessary","Useful","Operational","Partially answered","Useful","Results have previous ordering, but lack a tie-breaker criterion.","The quoted rule covers base ordering; the tie-breaking criterion is absent. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0124","US19_CT_R1","US19","CT","Q02","S01","When a 24-hour offer expires or is declined, should the system automatically notify the next eligible attendee?","Available-place offer and next-step process","US19_G05","DUP041","Yes","Systemic","Operational","Operational","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Operational","Partially answered","Necessary","CTX CS (within CT): ""The Waitlist Service stores the ordered entries and identifies the next eligible attendee.""","Combined with the 24-hour offer rule (CTX CO), the flow up to identifying the next attendee is covered; the automatic notification policy is not stated. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0125","US19_CT_R1","US19","CT","Q03","S01","Should attendee eligibility be rechecked when an available-place offer is generated, when the offer is accepted, or both?","Eligibility recheck timing","US19_G09","DUP042","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","ABSENT. None of the four context blocks defines when eligibility must be rechecked.","Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0126","US19_CT_R1","US19","CT","Q04","S01","What minimum information must be recorded for coordinator removals besides the reason?","Coordinator removal record fields","US19_G10","DUP043","Yes","Operational","Operational","Operational","Unanswered","Partially answered","Partially answered","Useful","Useful","Useful","Operational","Partially answered","Useful","CTX CD (within CT): ""Coordinators may remove entries that are duplicates or no longer eligible, with a recorded reason.""","The recorded reason is covered; additional required fields are not specified. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0127","US19_CT_R1","US19","CT","Q05","S01","What notification channel is required for available-place offers?","Available-place offer notification channel","US19_G06","DUP044","Yes","Operational","Operational","Systemic","Unanswered","Unanswered","Partially answered","Necessary","Useful","Useful","Operational","Unanswered","Useful","ABSENT. None of the four context blocks specifies the notification channel.","The systemic block names the Notification Service without defining the channel. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0133","US22_C0_R1","US22","C0","Q01","S01","What qualifies as “sufficient profile and interaction history” for personalized recommendations?","Minimum profile/history threshold for personalization","US22_G01","","Yes","Lexical","Lexical","Lexical","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Lexical","Unanswered","Necessary","Not found in the execution material.","The term ""sufficient history"" is the model's own phrasing; the related reference entry (US22_CO_03) covers the fallback rule, not the threshold."
"CLS0134","US22_C0_R1","US22","C0","Q02","S01","What makes content “eligible” for recommendation beyond not being dismissed?","Content eligibility definition","US22_G02","","Yes","Lexical","Lexical","Lexical","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Lexical","Unanswered","Necessary","Not found in the execution material.","Beyond not being dismissed presupposes the dismissal rule from the operational context, which was not provided in this run. Possible model inference."
"CLS0135","US22_C0_R1","US22","C0","Q03","S01","How should “similar profiles” be prioritized when interests and interaction signals conflict?","Similarity ranking conflict/combination rule","US22_G03","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","The reference lists the similarity signals; the prioritization rule for conflicting signals is not defined. | Related reference answer exists but was not provided in this execution condition: US22_CO_01: ""Similarity is calculated from shared interests, viewed content, saved content, and positive feedback."" (reference sheet; not provided under C0)"
"CLS0136","US22_C0_R1","US22","C0","Q04","S01","How is “popular content” defined for fallback recommendations?","Popular content fallback rule","US22_G04","","Yes","Lexical","Lexical","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Lexical","Unanswered","Necessary","Not found in the execution material.","The reference establishes the fallback; the definition of ""popular content"" is not given."
"CLS0137","US22_C0_R1","US22","C0","Q05","S01","When a user disables interaction-history use, should their history also be excluded from similarity calculations for other users? Answer: Yes or No.","History-disabled declared-interest/history use decision","US22_G05","","Yes","Decisional","Decisional","Decisional","Unanswered","Unanswered","Unanswered","Necessary","Useful","Necessary","Decisional","Unanswered","Necessary","Not found in the execution material.","The reference covers the opt-out itself; whether the opted-out history is also excluded from other users' similarity calculations is not addressed."
"CLS0138","US22_CD_R1","US22","CD","Q01","S01","What defines “sufficient profile and interaction history” for personalized recommendations?","Minimum profile/history threshold for personalization","US22_G01","DUP045","Yes","Lexical","Lexical","Lexical","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Lexical","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID."
"CLS0139","US22_CD_R1","US22","CD","Q02","S01","What makes a content item “eligible” for recommendation?","Content eligibility definition","US22_G02","DUP046","Yes","Lexical","Lexical","Lexical","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Lexical","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID."
"CLS0140","US22_CD_R1","US22","CD","Q03","S01","When history use is disabled, may declared interests still be used for recommendations?","History-disabled declared-interest use decision","US22_G06","DUP047","Yes","Decisional","Operational","Decisional","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Decisional","Partially answered","Necessary","Users may disable the use of their interaction history for personalized recommendations. / The Profile Service provides declared interests and privacy settings.","The opt-out is scoped to interaction history, which implies — but does not state — that declared interests remain usable. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0141","US22_CD_R1","US22","CD","Q04","S01","How should “popular eligible content” be determined for fallback recommendations?","Popular content fallback rule","US22_G04","DUP048","Yes","Decisional","Operational","Lexical","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","No explicit rule in the User Story or supplied context defines how popular eligible content should be determined for fallback recommendations.","Equivalent duplicate in the same Run_ID."
"CLS0142","US22_CD_R1","US22","CD","Q05","S01","Besides dismissed items, should previously viewed, saved, or positively rated content be excluded from recommendations?","Previously engaged content exclusion rule","US22_G07","DUP049","Yes","Decisional","Operational","Decisional","Unanswered","Unanswered","Unanswered","Necessary","Useful","Useful","Decisional","Unanswered","Useful","No explicit rule in the User Story or supplied context defines how popular eligible content should be determined for fallback recommendations.","The reference excludes dismissed items only; exclusion of viewed, saved, or rated content is not addressed. | Equivalent duplicate in the same Run_ID."
"CLS0148","US22_CL_R1","US22","CL","Q01","S01","What threshold defines “sufficient profile and interaction history” for personalized recommendations?","Minimum profile/history threshold for personalization","US22_G01","","Yes","Lexical","Operational","Lexical","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Lexical","Unanswered","Necessary","Not found in the execution material.","Emergent gap; the reference covers the fallback rule (US22_CO_03), not the threshold. | Partial coverage was reviewed against the execution material."
"CLS0149","US22_CL_R1","US22","CL","Q02","S01","Which interaction types count as “positive feedback” for similarity scoring?","Eligible interaction history signals for similarity","US22_G08","","Yes","Operational","Lexical","Systemic","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Systemic","Unanswered","Necessary","No explicit list in the User Story or supplied context defines which interaction types count as positive feedback for similarity scoring.","The reference lists the signals; which interactions count as ""positive feedback"" is not decomposed."
"CLS0150","US22_CL_R1","US22","CL","Q03","S01","What makes content “eligible” for recommendation?","Content eligibility definition","US22_G02","","Yes","Lexical","Lexical","Lexical","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Lexical","Unanswered","Necessary","Not found in the execution material.","Partial coverage was reviewed against the execution material."
"CLS0151","US22_CL_R1","US22","CL","Q04","S01","How should recommendation ranking combine interest similarity and interaction-pattern similarity?","Similarity ranking conflict/combination rule","US22_G03","","Yes","Decisional","Operational","Operational","Unanswered","Partially answered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Both similarity components are stated; the combination or weighting rule is not."
"CLS0152","US22_CL_R1","US22","CL","Q05","S01","What user-visible state should appear when no eligible recommendations are available?","No eligible recommendations user-visible state","US22_G09","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Useful","Useful","Useful","Operational","Unanswered","Useful","ABSENT. Neither the lexical context nor any reference entry defines the user-visible empty state.","The fallback rule (US22_CO_03) is related but addresses a different condition (insufficient history, not zero eligible items)."
"CLS0153","US22_CO_R1","US22","CO","Q01","S01","What exact threshold defines “sufficient history” for personalized recommendations?","Minimum profile/history threshold for personalization","US22_G01","DUP050","Yes","Lexical","Operational","Lexical","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Lexical","Partially answered","Necessary","Users with insufficient history receive non-personalized popular content instead.","The sufficiency concept is used operationally; the exact threshold is not defined. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0154","US22_CO_R1","US22","CO","Q02","S01","What criteria make a content item “eligible” for recommendation?","Content eligibility definition","US22_G02","DUP051","Yes","Operational","Lexical","Lexical","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Lexical","Partially answered","Necessary","CTX CO: ""The system returns up to ten eligible items that the current user has not already dismissed."" (context provided in this run)","One eligibility criterion (not dismissed) is stated; the remaining criteria are not. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0155","US22_CO_R1","US22","CO","Q03","S01","When interaction-history use is disabled, may declared interests still be used for personalization?","History-disabled declared-interest use decision","US22_G06","DUP052","Yes","Decisional","Operational","Decisional","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Decisional","Unanswered","Necessary","Not found in the execution material.","The question presupposes the opt-out feature, which is not part of the operational context provided in this run. Possible model inference. | Equivalent duplicate in the same Run_ID."
"CLS0156","US22_CO_R1","US22","CO","Q04","S01","How is “non-personalized popular content” calculated?","Popular content fallback rule","US22_G04","DUP053","Yes","Operational","Operational","Operational","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Operational","Partially answered","Necessary","CTX CO: ""Users with insufficient history receive non-personalized popular content instead."" (context provided in this run)","The fallback is established; the popularity calculation is not defined. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0157","US22_CO_R1","US22","CO","Q05","S01","How should recommendation ranking break ties between equally scored content items?","Tie-breaking for equally scored recommendations","US22_G10","DUP054","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Useful","Necessary","Useful","Operational","Unanswered","Useful","Not found in the execution material.","The ranking basis is given; the tie-breaking rule between equally scored items is absent. | Equivalent duplicate in the same Run_ID."
"CLS0163","US22_CS_R1","US22","CS","Q01","S01","What minimum profile/history data qualifies a user for personalized similar-profile recommendations?","Minimum profile/history threshold for personalization","US22_G01","DUP055","Yes","Operational","Operational","Lexical","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID."
"CLS0164","US22_CS_R1","US22","CS","Q02","S01","Which behavioral events from the Interaction History Service count as eligible signals for similarity: viewed, saved, positive feedback, or another defined subset?","Eligible interaction history signals for similarity","US22_G08","DUP056","Yes","Systemic","Lexical","Decisional","Unanswered","Partially answered","Unanswered","Necessary","Necessary","Useful","Systemic","Unanswered","Necessary","The supplied material refers to interaction/history signals, but it does not explicitly define which behavioral events from the Interaction History Service are eligible for similarity scoring.","The signal composition exists in the reference (US22_CO_01) but was not provided in this run. | Equivalent duplicate in the same Run_ID."
"CLS0165","US22_CS_R1","US22","CS","Q03","S01","When interaction-history use is disabled, may recommendations still use declared interests from the Profile Service?","History-disabled declared-interest use decision","US22_G06","DUP057","Yes","Systemic","Operational","Decisional","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Decisional","Unanswered","Necessary","No explicit decision in the User Story or supplied context states whether declared interests from the Profile Service may still be used when interaction-history use is disabled.","Privacy settings are mentioned as data, but no rule defines behavior when history use is disabled. See also REF US22_CD_03. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0166","US22_CS_R1","US22","CS","Q04","S01","How should non-personalized “popular eligible content” be determined?","Popular content fallback rule","US22_G04","DUP058","Yes","Decisional","Operational","Lexical","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","No explicit rule in the User Story or supplied context defines how non-personalized popular eligible content should be calculated or selected.","The fallback rule exists in the reference; the popularity calculation is not defined anywhere. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0167","US22_CS_R1","US22","CS","Q05","S01","What makes a content item eligible or ineligible for recommendation from the Content Catalog?","Content eligibility definition","US22_G02","DUP059","Yes","Lexical","Lexical","Lexical","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Lexical","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CLS0173","US22_CT_R1","US22","CT","Q01","S01","What threshold defines “sufficient history” for personalized recommendations?","Minimum profile/history threshold for personalization","US22_G01","","Yes","Lexical","Operational","Lexical","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Lexical","Partially answered","Necessary","Users with insufficient history receive non-personalized popular content instead.","The sufficiency concept is used; the exact threshold is not defined. | Partial coverage was reviewed against the execution material."
"CLS0174","US22_CT_R1","US22","CT","Q02","S01","When interaction-history use is disabled, may declared interests still be used for recommendations? Answer: yes/no.","History-disabled declared-interest use decision","US22_G06","","Yes","Decisional","Operational","Decisional","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Decisional","Partially answered","Necessary","Users may disable the use of their interaction history for personalized recommendations. / The Profile Service provides declared interests and privacy settings.","The opt-out is scoped to interaction history; the status of declared interests is implied but not stated. | Partial coverage was reviewed against the execution material."
"CLS0175","US22_CT_R1","US22","CT","Q03","S01","What makes catalog content “eligible” for recommendation beyond not being dismissed?","Content eligibility definition","US22_G02","","Yes","Lexical","Lexical","Lexical","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Lexical","Partially answered","Necessary","CTX CO (within CT): ""The system returns up to ten eligible items that the current user has not already dismissed.""","One criterion (not dismissed) is stated; the additional criteria requested are not. | Partial coverage was reviewed against the execution material."
"CLS0176","US22_CT_R1","US22","CT","Q04","S01","How is “popular content” determined for fallback recommendations?","Popular content fallback rule","US22_G04","","Yes","Operational","Operational","Operational","Unanswered","Partially answered","Partially answered","Necessary","Necessary","Necessary","Operational","Partially answered","Necessary","CTX CO (within CT): ""Users with insufficient history receive non-personalized popular content instead.""","The fallback is established; the determination of ""popular content"" is not. | Partial coverage was reviewed against the execution material."
"CLS0177","US22_CT_R1","US22","CT","Q05","S01","What should the user see when no eligible recommendations are available?","No eligible recommendations user-visible state","US22_G09","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Useful","Useful","Operational","Unanswered","Useful","ABSENT: None of the four context blocks defines the user-visible state when no eligible recommendations exist.","The fallback rule covers insufficient history, which is a different condition."
